GaussianNB,DecisionTree,XGBoost,KNN,RandomForest,AdaBoost
0.16215155084413035,0.474681578129854,0.5747287364368219,0.49395691014188126,0.4895470383275261,0.35360149672591207
0.1604380824286675,0.4710615908387496,0.5977011494252874,0.48221757322175735,0.48021108179419525,0.3616029822926375
0.15848909657320873,0.44340796019900497,0.5816002819880155,0.4826315789473684,0.46819787985865724,0.32494061757719717
0.15229775921002658,0.4587271581600504,0.5854885057471264,0.4703693861280893,0.4960212201591512,0.37541686517389233
0.15599578907072448,0.4583723105706268,0.5955983493810179,0.49427679500520294,0.4872471416007036,0.35694050991501414
0.16129032258064516,0.4756657483930211,0.6070091867982307,0.5020942408376964,0.5160462130937099,0.3957662218131615
0.1601161665053243,0.45714285714285713,0.5844245348035837,0.48715313463514903,0.5108979947689625,0.3520992366412214
0.1585081585081585,0.46365914786967416,0.5862917398945519,0.47886570358480474,0.48857644991212656,0.34978843441466856
0.15710843373493977,0.4646153846153846,0.5819070904645477,0.49088507265521797,0.49393414211438474,0.3767441860465116
0.1579778830963665,0.4536525475751995,0.5736217725052338,0.4784191367654706,0.4783180026281209,0.33810888252148996